LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid_sd
SCH,4,Amelia County,220,Amelia County Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,67,NA,57,10,NA,8,Amelia County Elementary Amelia County,37.3353614,-77.9902114,5100180
SCH,5,Amherst County,780,Amelon Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,69,NA,47,15,NA,7,Amelon Elementary Amherst County,37.4701154,-79.1175993,NA
SCH,5,Amherst County,790,Amherst Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,87,NA,79,22,NA,12,Amherst Elementary Amherst County,37.587916,-79.0455582,NA
SCH,5,Amherst County,770,Central Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,69,NA,49,19,NA,9,Central Elementary Amherst County,37.5692329,-79.0361717,NA
SCH,5,Amherst County,760,Elon Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,84,NA,57,18,NA,2,Elon Elementary Amherst County,37.5137096,-79.1955376,NA
SCH,5,Amherst County,500,Madison Heights Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,62,NA,54,7,NA,4,Madison Heights Elementary Amherst County,37.4320054,-79.1337998,NA
SCH,5,Amherst County,740,Temperance Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,78,NA,71,6,NA,0,Temperance Elementary Amherst County,37.6930629,-79.0817803,NA
SCH,6,Appomattox County,110,Appomattox Elementary,Elem,3,5,English: Reading,Gr 3,English Reading,71,NA,63,14,NA,9,Appomattox Elementary Appomattox County,37.3523093,-78.8378305,5100240
SCH,7,Arlington County,350,Abingdon Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,52,NA,50,12,NA,12,Abingdon Elementary Arlington County,38.8396172,-77.0959883,5100270
SCH,7,Arlington County,160,Alice West Fleet Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,74,NA,68,30,NA,8,Alice West Fleet Elementary Arlington County,38.8702001,-77.0979407,5100270
SCH,7,Arlington County,470,Arlington Traditional,Elem,PK,5,English: Reading,Gr 3,English Reading,96,NA,89,32,NA,24,Arlington Traditional Arlington County,38.8788678,-77.1461256,5100270
SCH,7,Arlington County,490,Ashlawn Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,83,NA,84,25,NA,11,Ashlawn Elementary Arlington County,38.8731638,-77.1360151,5100270
