"","Tract","GEOID","NAME","ChildcareAware-0yr-min","ChildcareAware-1yr-min","ChildcareAware-2-3yr-min","ChildcareAware-4-5yr-min","ChildcareAware-5-12yr-min","ChildcareAware-0yr-avg","ChildcareAware-1yr-avg","ChildcareAware-2-3yr-avg","ChildcareAware-4-5yr-avg","ChildcareAware-5-12yr-avg","ChildcareAware-0yr-max","ChildcareAware-1yr-max","ChildcareAware-2-3yr-max","ChildcareAware-4-5yr-max","ChildcareAware-5-12yr-max"
"35","51710002200","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"36","51680000400","51680","Lynchburg",420,420,320,320,320,660,636,516,496,464,796,796,744,652,560
"37","51059480505","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"38","51790000300","51790","Staunton",840,540,520,520,465,840,668,640,640,484.333333333333,840,800,760,760,504
"39","51760040500","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"40","51680001603","51680","Lynchburg",420,420,320,320,320,660,636,516,496,464,796,796,744,652,560
"41","51710004300","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"42","51710002100","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"43","51810046219","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"44","51550021303","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"45","51017920101","51017","Bath",712,638.666666666667,613.666666666667,575.666666666667,461.666666666667,712,668,616.333333333333,578.333333333333,468.111111111111,712,698.666666666667,620.333333333333,582.333333333333,474.666666666667
"46","51710006902","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"47","51700032227","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"48","51550021401","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"49","51013101405","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
