geoid,year,measure,value,moe,Unnamed: 0
51760030100,2016,average_years_schooling,0.634,,1
51710004800,2016,average_years_schooling,0.662,,2
51760020200,2016,average_years_schooling,0.655,,3
51770002502,2016,average_years_schooling,0.605,,4
51710004200,2016,average_years_schooling,0.647,,5
51760030501,2016,average_years_schooling,0.832,,6
51760020100,2016,average_years_schooling,0.653,,7
51710004100,2016,average_years_schooling,0.657,,8
51730810100,2016,average_years_schooling,0.645,,9
51700030100,2016,average_years_schooling,0.669,,10
51740211800,2016,average_years_schooling,0.65,,11
51710003501,2016,average_years_schooling,0.671,,12
51003010904,2016,average_years_schooling,0.835,,13
51013101704,2016,average_years_schooling,0.941,,14
51013101408,2016,average_years_schooling,0.913,,15
51760020400,2016,average_years_schooling,0.627,,16
51740210500,2016,average_years_schooling,0.666,,17
51059451400,2016,average_years_schooling,0.607,,18
51760040300,2016,average_years_schooling,0.831,,19
51013102701,2016,average_years_schooling,0.695,,20
51760060800,2016,average_years_schooling,0.612,,21
51590000400,2016,average_years_schooling,0.633,,22
51730810600,2016,average_years_schooling,0.619,,23
51059451601,2016,average_years_schooling,0.478,,24
51730810700,2016,average_years_schooling,0.615,,25
51760010300,2016,average_years_schooling,0.677,,26
51510201206,2016,average_years_schooling,0.649,,27
51013103505,2016,average_years_schooling,0.882,,28
51700030600,2016,average_years_schooling,0.672,,29
51013103503,2016,average_years_schooling,0.923,,30
51760021000,2016,average_years_schooling,0.678,,31
51710005100,2016,average_years_schooling,0.683,,32
51650011400,2016,average_years_schooling,0.696,,33
51087200805,2016,average_years_schooling,0.68,,34
51013103602,2016,average_years_schooling,0.938,,35
51700030800,2016,average_years_schooling,0.67,,36
51760060900,2016,average_years_schooling,0.593,,37
51590000500,2016,average_years_schooling,0.652,,38
51013101603,2016,average_years_schooling,0.93,,39
51760070601,2016,average_years_schooling,0.563,,40
51700030400,2016,average_years_schooling,0.662,,41
51105950301,2016,average_years_schooling,0.661,,42
51740212100,2016,average_years_schooling,0.643,,43
51059461902,2016,average_years_schooling,0.754,,44
51800065500,2016,average_years_schooling,0.643,,45
51710000902,2016,average_years_schooling,0.747,,46
51760060700,2016,average_years_schooling,0.656,,47
51710002900,2016,average_years_schooling,0.683,,48
51800065100,2016,average_years_schooling,0.652,,49
51710001300,2016,average_years_schooling,0.728,,50
51710002700,2016,average_years_schooling,0.683,,51
51680001100,2016,average_years_schooling,0.677,,52
51680000600,2016,average_years_schooling,0.673,,53
51710004300,2016,average_years_schooling,0.673,,54
51041100406,2016,average_years_schooling,0.683,,55
51590001000,2016,average_years_schooling,0.675,,56
51710005701,2016,average_years_schooling,0.677,,57
51041100404,2016,average_years_schooling,0.595,,58
51770001000,2016,average_years_schooling,0.653,,59
51510201205,2016,average_years_schooling,0.649,,60
51595890100,2016,average_years_schooling,0.647,,61
51550020100,2016,average_years_schooling,0.689,,62
51013101804,2016,average_years_schooling,0.905,,63
51710002500,2016,average_years_schooling,0.728,,64
51620090200,2016,average_years_schooling,0.643,,65
51510200102,2016,average_years_schooling,0.746,,66
51121020301,2016,average_years_schooling,0.895,,67
51770002600,2016,average_years_schooling,0.62,,68
51013102001,2016,average_years_schooling,0.712,,69
51510200304,2016,average_years_schooling,0.79,,70
51760030200,2016,average_years_schooling,0.769,,71
51680000400,2016,average_years_schooling,0.696,,72
51510200106,2016,average_years_schooling,0.786,,73
51013101705,2016,average_years_schooling,0.941,,74
51510200108,2016,average_years_schooling,0.749,,75
51810045810,2016,average_years_schooling,0.678,,76
51013103300,2016,average_years_schooling,0.841,,77
51710004600,2016,average_years_schooling,0.667,,78
51770000900,2016,average_years_schooling,0.655,,79
51520020201,2016,average_years_schooling,0.742,,80
51810040600,2016,average_years_schooling,0.74,,81
51700032300,2016,average_years_schooling,0.744,,82
51059415401,2016,average_years_schooling,0.738,,83
51700032006,2016,average_years_schooling,0.708,,84
51710001400,2016,average_years_schooling,0.744,,85
51710003400,2016,average_years_schooling,0.684,,86
51730810400,2016,average_years_schooling,0.618,,87
51680000700,2016,average_years_schooling,0.683,,88
51760071004,2016,average_years_schooling,0.727,,89
51710001100,2016,average_years_schooling,0.001,,90
51013101701,2016,average_years_schooling,0.899,,91
51710005901,2016,average_years_schooling,0.692,,92
51059450702,2016,average_years_schooling,0.65,,93
51680001900,2016,average_years_schooling,0.68,,94
51710004400,2016,average_years_schooling,0.72,,95
51710005500,2016,average_years_schooling,0.679,,96
51059480203,2016,average_years_schooling,0.889,,97
51177020313,2016,average_years_schooling,0.765,,98
51710004500,2016,average_years_schooling,0.739,,99
51510200409,2016,average_years_schooling,0.796,,100
51730811200,2016,average_years_schooling,0.724,,101
51670820100,2016,average_years_schooling,0.674,,102
51013103504,2016,average_years_schooling,0.882,,103
51510200109,2016,average_years_schooling,0.749,,104
51059480205,2016,average_years_schooling,0.916,,105
51013102200,2016,average_years_schooling,0.649,,106
51540000202,2016,average_years_schooling,0.729,,107
51540000401,2016,average_years_schooling,0.728,,108
51680000205,2016,average_years_schooling,0.731,,109
51710005800,2016,average_years_schooling,0.672,,110
51199050207,2016,average_years_schooling,0.78,,111
51760020700,2016,average_years_schooling,0.699,,112
51710001600,2016,average_years_schooling,0.715,,113
51700032126,2016,average_years_schooling,0.643,,114
51740211100,2016,average_years_schooling,0.676,,115
