geoid,year,measure,value,moe,Unnamed: 0
51760030100,2018,average_years_schooling,0.584,,1
51710004800,2018,average_years_schooling,0.62,,2
51760020200,2018,average_years_schooling,0.613,,3
51770002502,2018,average_years_schooling,0.601,,4
51710004200,2018,average_years_schooling,0.61,,5
51760030501,2018,average_years_schooling,0.796,,6
51760020100,2018,average_years_schooling,0.614,,7
51710004100,2018,average_years_schooling,0.627,,8
51730810100,2018,average_years_schooling,0.637,,9
51700030100,2018,average_years_schooling,0.617,,10
51740211800,2018,average_years_schooling,0.625,,11
51710003501,2018,average_years_schooling,0.626,,12
51003010904,2018,average_years_schooling,0.79,,13
51013101704,2018,average_years_schooling,0.89,,14
51013101408,2018,average_years_schooling,0.863,,15
51760020400,2018,average_years_schooling,0.591,,16
51740210500,2018,average_years_schooling,0.644,,17
51059451400,2018,average_years_schooling,0.55,,18
51760040300,2018,average_years_schooling,0.781,,19
51013102701,2018,average_years_schooling,0.695,,20
51760060800,2018,average_years_schooling,0.588,,21
51590000400,2018,average_years_schooling,0.613,,22
51730810600,2018,average_years_schooling,0.596,,23
51059451601,2018,average_years_schooling,0.443,,24
51730810700,2018,average_years_schooling,0.623,,25
51760010300,2018,average_years_schooling,0.676,,26
51510201206,2018,average_years_schooling,0.614,,27
51013103505,2018,average_years_schooling,0.837,,28
51700030600,2018,average_years_schooling,0.657,,29
51013103503,2018,average_years_schooling,0.873,,30
51760021000,2018,average_years_schooling,0.665,,31
51710005100,2018,average_years_schooling,0.647,,32
51650011400,2018,average_years_schooling,0.671,,33
51087200805,2018,average_years_schooling,0.649,,34
51013103602,2018,average_years_schooling,0.892,,35
51700030800,2018,average_years_schooling,0.637,,36
51760060900,2018,average_years_schooling,0.553,,37
51590000500,2018,average_years_schooling,0.606,,38
51013101603,2018,average_years_schooling,0.883,,39
51760070601,2018,average_years_schooling,0.537,,40
51700030400,2018,average_years_schooling,0.658,,41
51105950301,2018,average_years_schooling,0.623,,42
51740212100,2018,average_years_schooling,0.631,,43
51059461902,2018,average_years_schooling,0.685,,44
51800065500,2018,average_years_schooling,0.61,,45
51710000902,2018,average_years_schooling,0.723,,46
51760060700,2018,average_years_schooling,0.635,,47
51710002900,2018,average_years_schooling,0.65,,48
