"geoid","year","NAME","measure","region_type","value"
51013102100,2021,"Census Tract 1021, Arlington County, Virginia","average_years_schooling","tract",15.4673799582463
51013102200,2021,"Census Tract 1022, Arlington County, Virginia","average_years_schooling","tract",12.7847540983607
51013102301,2021,"Census Tract 1023.01, Arlington County, Virginia","average_years_schooling","tract",15.5608465608466
51013102302,2021,"Census Tract 1023.02, Arlington County, Virginia","average_years_schooling","tract",15.3899782135076
51013102400,2021,"Census Tract 1024, Arlington County, Virginia","average_years_schooling","tract",15.428987618354
51013102500,2021,"Census Tract 1025, Arlington County, Virginia","average_years_schooling","tract",16.0357997823721
51013102600,2021,"Census Tract 1026, Arlington County, Virginia","average_years_schooling","tract",15.2189840442852
51013102701,2021,"Census Tract 1027.01, Arlington County, Virginia","average_years_schooling","tract",13.8424322289157
51013102702,2021,"Census Tract 1027.02, Arlington County, Virginia","average_years_schooling","tract",15.1549069916613
51013102802,2021,"Census Tract 1028.02, Arlington County, Virginia","average_years_schooling","tract",16.3465723612622
51013102803,2021,"Census Tract 1028.03, Arlington County, Virginia","average_years_schooling","tract",14.9320498301246
51013102804,2021,"Census Tract 1028.04, Arlington County, Virginia","average_years_schooling","tract",13.858029582673
51013102901,2021,"Census Tract 1029.01, Arlington County, Virginia","average_years_schooling","tract",17.0622803592347
51013102903,2021,"Census Tract 1029.03, Arlington County, Virginia","average_years_schooling","tract",16.4491114701131
51013102904,2021,"Census Tract 1029.04, Arlington County, Virginia","average_years_schooling","tract",15.4051490514905
51013103000,2021,"Census Tract 1030, Arlington County, Virginia","average_years_schooling","tract",17.2721568627451
51013103100,2021,"Census Tract 1031, Arlington County, Virginia","average_years_schooling","tract",15.3733528550512
51013103200,2021,"Census Tract 1032, Arlington County, Virginia","average_years_schooling","tract",15.8465587044534
51013103300,2021,"Census Tract 1033, Arlington County, Virginia","average_years_schooling","tract",16.2050458715596
51013103401,2021,"Census Tract 1034.01, Arlington County, Virginia","average_years_schooling","tract",12.8860598345003
51013103403,2021,"Census Tract 1034.03, Arlington County, Virginia","average_years_schooling","tract",16.0607082630691
51013103404,2021,"Census Tract 1034.04, Arlington County, Virginia","average_years_schooling","tract",16.6014492753623
51013103405,2021,"Census Tract 1034.05, Arlington County, Virginia","average_years_schooling","tract",16.9640992167102
51013103501,2021,"Census Tract 1035.01, Arlington County, Virginia","average_years_schooling","tract",16.7282475490196
51013103503,2021,"Census Tract 1035.03, Arlington County, Virginia","average_years_schooling","tract",16.8134774609016
51013103504,2021,"Census Tract 1035.04, Arlington County, Virginia","average_years_schooling","tract",16.6213069169274
51013103505,2021,"Census Tract 1035.05, Arlington County, Virginia","average_years_schooling","tract",16.5499095840868
51013103601,2021,"Census Tract 1036.01, Arlington County, Virginia","average_years_schooling","tract",16.5532805956259
51013103602,2021,"Census Tract 1036.02, Arlington County, Virginia","average_years_schooling","tract",16.7510390689942
51013103700,2021,"Census Tract 1037, Arlington County, Virginia","average_years_schooling","tract",16.9371101871102
51013103800,2021,"Census Tract 1038, Arlington County, Virginia","average_years_schooling","tract",16.1215395823215
51013980100,2021,"Census Tract 9801, Arlington County, Virginia","average_years_schooling","tract",NA
51013980200,2021,"Census Tract 9802, Arlington County, Virginia","average_years_schooling","tract",NA
51059415100,2021,"Census Tract 4151, Fairfax County, Virginia","average_years_schooling","tract",15.6113376835237
51059415200,2021,"Census Tract 4152, Fairfax County, Virginia","average_years_schooling","tract",16.1438247011952
51059415300,2021,"Census Tract 4153, Fairfax County, Virginia","average_years_schooling","tract",14.5731518713269
51059415401,2021,"Census Tract 4154.01, Fairfax County, Virginia","average_years_schooling","tract",13.4142893530311
51059415402,2021,"Census Tract 4154.02, Fairfax County, Virginia","average_years_schooling","tract",15.8285845588235
51059415500,2021,"Census Tract 4155, Fairfax County, Virginia","average_years_schooling","tract",15.3100540540541
51059415600,2021,"Census Tract 4156, Fairfax County, Virginia","average_years_schooling","tract",16.5701918577445
51059415700,2021,"Census Tract 4157, Fairfax County, Virginia","average_years_schooling","tract",16.8544747081712
51059415800,2021,"Census Tract 4158, Fairfax County, Virginia","average_years_schooling","tract",15.9262317271251
51059415900,2021,"Census Tract 4159, Fairfax County, Virginia","average_years_schooling","tract",15.6894636015326
51059416000,2021,"Census Tract 4160, Fairfax County, Virginia","average_years_schooling","tract",14.5980538922156
51059416100,2021,"Census Tract 4161, Fairfax County, Virginia","average_years_schooling","tract",16.3649781952365
51059416200,2021,"Census Tract 4162, Fairfax County, Virginia","average_years_schooling","tract",14.9920310584389
51059416300,2021,"Census Tract 4163, Fairfax County, Virginia","average_years_schooling","tract",15.2419246298789
51059420100,2021,"Census Tract 4201, Fairfax County, Virginia","average_years_schooling","tract",13.9193636116399
51059420201,2021,"Census Tract 4202.01, Fairfax County, Virginia","average_years_schooling","tract",15.1321897073663
