geoid,year,measure,value,moe
51001,2019,average_years_schooling,12.622367805334582,
51001,2017,average_years_schooling,12.5936624501231,
51001,2018,average_years_schooling,12.582178427632972,
51003,2019,average_years_schooling,14.858432619932271,
51003,2018,average_years_schooling,14.734886211885154,
51003,2017,average_years_schooling,14.682445313713584,
51005,2019,average_years_schooling,12.701950480940503,
51005,2018,average_years_schooling,12.66641539553033,
51005,2017,average_years_schooling,12.692446201141856,
51007,2019,average_years_schooling,12.472045674889582,
51007,2018,average_years_schooling,12.41766334440753,
51007,2017,average_years_schooling,12.25518857397902,
51009,2019,average_years_schooling,12.752101395062272,
51009,2018,average_years_schooling,12.753518633265468,
51009,2017,average_years_schooling,12.749075847325525,
51011,2019,average_years_schooling,12.971117509447543,
51011,2018,average_years_schooling,12.843313193254575,
51011,2017,average_years_schooling,12.916742327946253,
51013,2019,average_years_schooling,15.806632597020448,
51013,2018,average_years_schooling,15.733290238797837,
51013,2017,average_years_schooling,15.727808808983532,
51015,2019,average_years_schooling,12.997895080658331,
51015,2018,average_years_schooling,13.0218143025309,
51015,2017,average_years_schooling,13.015501790452156,
51017,2019,average_years_schooling,12.822426937738248,
51017,2018,average_years_schooling,12.6292899408284,
51017,2017,average_years_schooling,12.70865296103099,
51019,2019,average_years_schooling,13.477068670512075,
51019,2018,average_years_schooling,13.437607550249252,
51019,2017,average_years_schooling,13.394186947201556,
51021,2019,average_years_schooling,12.67613751263903,
51021,2018,average_years_schooling,12.891606280193235,
51021,2017,average_years_schooling,12.568680223285488,
51023,2018,average_years_schooling,13.520183902358568,
51023,2019,average_years_schooling,13.534799281984334,
51023,2017,average_years_schooling,13.455662371027223,
51025,2017,average_years_schooling,12.335574418018318,
51025,2018,average_years_schooling,12.401704174820614,
51025,2019,average_years_schooling,12.405079236082893,
51027,2017,average_years_schooling,11.658333824656566,
51027,2019,average_years_schooling,11.715241703844042,
51027,2018,average_years_schooling,11.648120345904395,
51029,2017,average_years_schooling,11.83985408482322,
51029,2019,average_years_schooling,12.233036136973332,
51029,2018,average_years_schooling,12.014104709538609,
51031,2019,average_years_schooling,12.969405682160424,
51031,2017,average_years_schooling,12.877394198038916,
51031,2018,average_years_schooling,12.919018250471996,
51033,2019,average_years_schooling,12.870828425598742,
51033,2017,average_years_schooling,12.682849720615629,
51033,2018,average_years_schooling,12.811316611360528,
51035,2019,average_years_schooling,12.358585177190143,
51035,2017,average_years_schooling,12.390907431075403,
51035,2018,average_years_schooling,12.286672387318216,
51036,2019,average_years_schooling,12.440282102949256,
51036,2017,average_years_schooling,12.287098560354377,
51036,2018,average_years_schooling,12.357248247879012,
51037,2019,average_years_schooling,12.289087465972306,
51037,2017,average_years_schooling,12.139655579146028,
51037,2018,average_years_schooling,12.201271186440678,
51041,2019,average_years_schooling,14.004081473658696,
51041,2017,average_years_schooling,13.920750225541076,
51041,2018,average_years_schooling,13.963966224664096,
51043,2019,average_years_schooling,13.566518632940722,
51043,2017,average_years_schooling,13.520599433759642,
51043,2018,average_years_schooling,13.5826717632069,
51045,2019,average_years_schooling,13.068627450980394,
51045,2017,average_years_schooling,12.946247727862891,
51045,2018,average_years_schooling,12.855444785276072,
51047,2019,average_years_schooling,13.097391253712225,
51047,2017,average_years_schooling,12.91755151150549,
51047,2018,average_years_schooling,13.008695652173913,
51049,2018,average_years_schooling,12.518023840298724,
51049,2017,average_years_schooling,12.483081353491722,
51049,2019,average_years_schooling,12.474524982406756,
51051,2018,average_years_schooling,11.866048593350383,
51051,2017,average_years_schooling,11.811086995840114,
51051,2019,average_years_schooling,11.962764976958525,
