STATEFP,COUNTYFP,TRACTCE,PUMA5CE,fips,income_cat,hh_size,ccc_avg
51,059,450100,59301,51059450100,"$10,000 to $14,999",2,NA
51,059,450100,59301,51059450100,"$15,000 to $19,999",2,NA
51,059,450100,59301,51059450100,"$20,000 to $24,999",2,1072
51,059,450100,59301,51059450100,"$25,000 to $29,999",2,NA
51,059,450100,59301,51059450100,"$30,000 to $34,999",2,NA
51,059,450100,59301,51059450100,"$35,000 to $39,999",2,NA
51,059,450100,59301,51059450100,"$40,000 to $44,999",2,NA
51,059,450100,59301,51059450100,"$45,000 to $49,999",2,NA
51,059,450100,59301,51059450100,"$50,000 to $59,999",2,NA
51,059,450100,59301,51059450100,"$60,000 to $74,999",2,1402
51,059,450100,59301,51059450100,"$75,000 to $99,999",2,1072
51,059,450100,59301,51059450100,"$100,000 to $124,999",2,1485.66
51,059,450100,59301,51059450100,"$125,000 to $149,999",2,1072
51,059,450100,59301,51059450100,"$150,000 to $199,999",2,1072
51,059,450100,59301,51059450100,"$200,000 or more",2,NA
51,059,450100,59301,51059450100,"$10,000 to $14,999",3,NA
51,059,450100,59301,51059450100,"$15,000 to $19,999",3,NA
51,059,450100,59301,51059450100,"$20,000 to $24,999",3,NA
51,059,450100,59301,51059450100,"$25,000 to $29,999",3,1169.54
51,059,450100,59301,51059450100,"$30,000 to $34,999",3,NA
51,059,450100,59301,51059450100,"$35,000 to $39,999",3,NA
51,059,450100,59301,51059450100,"$40,000 to $44,999",3,1201.15
51,059,450100,59301,51059450100,"$45,000 to $49,999",3,NA
51,059,450100,59301,51059450100,"$50,000 to $59,999",3,1532
51,059,450100,59301,51059450100,"$60,000 to $74,999",3,1265.01
51,059,450100,59301,51059450100,"$75,000 to $99,999",3,1532
51,059,450100,59301,51059450100,"$100,000 to $124,999",3,1233.79
51,059,450100,59301,51059450100,"$125,000 to $149,999",3,1302.92
51,059,450100,59301,51059450100,"$150,000 to $199,999",3,1442.31
51,059,450100,59301,51059450100,"$200,000 or more",3,1200.26
51,059,450100,59301,51059450100,"$10,000 to $14,999",4,1402
51,059,450100,59301,51059450100,"$15,000 to $19,999",4,NA
51,059,450100,59301,51059450100,"$20,000 to $24,999",4,1358.1
51,059,450100,59301,51059450100,"$25,000 to $29,999",4,1125.72
51,059,450100,59301,51059450100,"$30,000 to $34,999",4,1072
51,059,450100,59301,51059450100,"$35,000 to $39,999",4,1198.88
51,059,450100,59301,51059450100,"$40,000 to $44,999",4,NA
51,059,450100,59301,51059450100,"$45,000 to $49,999",4,1456.62
51,059,450100,59301,51059450100,"$50,000 to $59,999",4,NA
51,059,450100,59301,51059450100,"$60,000 to $74,999",4,1357.68
51,059,450100,59301,51059450100,"$75,000 to $99,999",4,1195.25
51,059,450100,59301,51059450100,"$100,000 to $124,999",4,1072
51,059,450100,59301,51059450100,"$125,000 to $149,999",4,1072
51,059,450100,59301,51059450100,"$150,000 to $199,999",4,1223.1
51,059,450100,59301,51059450100,"$200,000 or more",4,1244.67
51,059,450100,59301,51059450100,"$10,000 to $14,999",5,NA
51,059,450100,59301,51059450100,"$15,000 to $19,999",5,NA
51,059,450100,59301,51059450100,"$20,000 to $24,999",5,1325.95
51,059,450100,59301,51059450100,"$25,000 to $29,999",5,NA
51,059,450100,59301,51059450100,"$30,000 to $34,999",5,1072
51,059,450100,59301,51059450100,"$35,000 to $39,999",5,1072
51,059,450100,59301,51059450100,"$40,000 to $44,999",5,1460
51,059,450100,59301,51059450100,"$45,000 to $49,999",5,NA
51,059,450100,59301,51059450100,"$50,000 to $59,999",5,1238.7
51,059,450100,59301,51059450100,"$60,000 to $74,999",5,1251.93
51,059,450100,59301,51059450100,"$75,000 to $99,999",5,1225.93
51,059,450100,59301,51059450100,"$100,000 to $124,999",5,1072
51,059,450100,59301,51059450100,"$125,000 to $149,999",5,1345.88
51,059,450100,59301,51059450100,"$150,000 to $199,999",5,1241.12
51,059,450100,59301,51059450100,"$200,000 or more",5,1080.84
51,059,450100,59301,51059450100,"$10,000 to $14,999",6,1167.69
51,059,450100,59301,51059450100,"$15,000 to $19,999",6,1072
51,059,450100,59301,51059450100,"$20,000 to $24,999",6,NA
51,059,450100,59301,51059450100,"$25,000 to $29,999",6,NA
51,059,450100,59301,51059450100,"$30,000 to $34,999",6,NA
51,059,450100,59301,51059450100,"$35,000 to $39,999",6,NA
51,059,450100,59301,51059450100,"$40,000 to $44,999",6,NA
51,059,450100,59301,51059450100,"$45,000 to $49,999",6,NA
51,059,450100,59301,51059450100,"$50,000 to $59,999",6,1221.8
51,059,450100,59301,51059450100,"$60,000 to $74,999",6,NA
51,059,450100,59301,51059450100,"$75,000 to $99,999",6,1402
51,059,450100,59301,51059450100,"$100,000 to $124,999",6,1323.82
51,059,450100,59301,51059450100,"$125,000 to $149,999",6,NA
51,059,450100,59301,51059450100,"$150,000 to $199,999",6,1316.44
51,059,450100,59301,51059450100,"$200,000 or more",6,1532
51,059,450100,59301,51059450100,"$10,000 to $14,999",7,NA
51,059,450100,59301,51059450100,"$15,000 to $19,999",7,NA
51,059,450100,59301,51059450100,"$20,000 to $24,999",7,NA
51,059,450100,59301,51059450100,"$25,000 to $29,999",7,NA
51,059,450100,59301,51059450100,"$30,000 to $34,999",7,NA
51,059,450100,59301,51059450100,"$35,000 to $39,999",7,1431
51,059,450100,59301,51059450100,"$40,000 to $44,999",7,NA
51,059,450100,59301,51059450100,"$45,000 to $49,999",7,NA
51,059,450100,59301,51059450100,"$50,000 to $59,999",7,NA
51,059,450100,59301,51059450100,"$60,000 to $74,999",7,1262.46
51,059,450100,59301,51059450100,"$75,000 to $99,999",7,NA
51,059,450100,59301,51059450100,"$100,000 to $124,999",7,1246.83
51,059,450100,59301,51059450100,"$125,000 to $149,999",7,NA
51,059,450100,59301,51059450100,"$150,000 to $199,999",7,1379.19
51,059,450100,59301,51059450100,"$200,000 or more",7,1248.44
51,059,450200,59301,51059450200,"$10,000 to $14,999",2,NA
51,059,450200,59301,51059450200,"$15,000 to $19,999",2,NA
51,059,450200,59301,51059450200,"$20,000 to $24,999",2,1072
51,059,450200,59301,51059450200,"$25,000 to $29,999",2,NA
51,059,450200,59301,51059450200,"$30,000 to $34,999",2,NA
51,059,450200,59301,51059450200,"$35,000 to $39,999",2,NA
51,059,450200,59301,51059450200,"$40,000 to $44,999",2,NA
51,059,450200,59301,51059450200,"$45,000 to $49,999",2,NA
51,059,450200,59301,51059450200,"$50,000 to $59,999",2,NA
51,059,450200,59301,51059450200,"$60,000 to $74,999",2,1402
51,059,450200,59301,51059450200,"$75,000 to $99,999",2,1072
51,059,450200,59301,51059450200,"$100,000 to $124,999",2,1485.66
51,059,450200,59301,51059450200,"$125,000 to $149,999",2,1072
51,059,450200,59301,51059450200,"$150,000 to $199,999",2,1072
51,059,450200,59301,51059450200,"$200,000 or more",2,NA
51,059,450200,59301,51059450200,"$10,000 to $14,999",3,NA
51,059,450200,59301,51059450200,"$15,000 to $19,999",3,NA
51,059,450200,59301,51059450200,"$20,000 to $24,999",3,NA
51,059,450200,59301,51059450200,"$25,000 to $29,999",3,1169.54
51,059,450200,59301,51059450200,"$30,000 to $34,999",3,NA
51,059,450200,59301,51059450200,"$35,000 to $39,999",3,NA
51,059,450200,59301,51059450200,"$40,000 to $44,999",3,1201.15
51,059,450200,59301,51059450200,"$45,000 to $49,999",3,NA
51,059,450200,59301,51059450200,"$50,000 to $59,999",3,1532
51,059,450200,59301,51059450200,"$60,000 to $74,999",3,1265.01
51,059,450200,59301,51059450200,"$75,000 to $99,999",3,1532
51,059,450200,59301,51059450200,"$100,000 to $124,999",3,1233.79
51,059,450200,59301,51059450200,"$125,000 to $149,999",3,1302.92
51,059,450200,59301,51059450200,"$150,000 to $199,999",3,1442.31
51,059,450200,59301,51059450200,"$200,000 or more",3,1200.26
51,059,450200,59301,51059450200,"$10,000 to $14,999",4,1402
51,059,450200,59301,51059450200,"$15,000 to $19,999",4,NA
51,059,450200,59301,51059450200,"$20,000 to $24,999",4,1358.1
51,059,450200,59301,51059450200,"$25,000 to $29,999",4,1125.72
51,059,450200,59301,51059450200,"$30,000 to $34,999",4,1072
51,059,450200,59301,51059450200,"$35,000 to $39,999",4,1198.88
51,059,450200,59301,51059450200,"$40,000 to $44,999",4,NA
51,059,450200,59301,51059450200,"$45,000 to $49,999",4,1456.62
51,059,450200,59301,51059450200,"$50,000 to $59,999",4,NA
51,059,450200,59301,51059450200,"$60,000 to $74,999",4,1357.68
51,059,450200,59301,51059450200,"$75,000 to $99,999",4,1195.25
51,059,450200,59301,51059450200,"$100,000 to $124,999",4,1072
51,059,450200,59301,51059450200,"$125,000 to $149,999",4,1072
51,059,450200,59301,51059450200,"$150,000 to $199,999",4,1223.1
51,059,450200,59301,51059450200,"$200,000 or more",4,1244.67
51,059,450200,59301,51059450200,"$10,000 to $14,999",5,NA
51,059,450200,59301,51059450200,"$15,000 to $19,999",5,NA
51,059,450200,59301,51059450200,"$20,000 to $24,999",5,1325.95
51,059,450200,59301,51059450200,"$25,000 to $29,999",5,NA
51,059,450200,59301,51059450200,"$30,000 to $34,999",5,1072
51,059,450200,59301,51059450200,"$35,000 to $39,999",5,1072
51,059,450200,59301,51059450200,"$40,000 to $44,999",5,1460
51,059,450200,59301,51059450200,"$45,000 to $49,999",5,NA
51,059,450200,59301,51059450200,"$50,000 to $59,999",5,1238.7
51,059,450200,59301,51059450200,"$60,000 to $74,999",5,1251.93
51,059,450200,59301,51059450200,"$75,000 to $99,999",5,1225.93
51,059,450200,59301,51059450200,"$100,000 to $124,999",5,1072
51,059,450200,59301,51059450200,"$125,000 to $149,999",5,1345.88
51,059,450200,59301,51059450200,"$150,000 to $199,999",5,1241.12
51,059,450200,59301,51059450200,"$200,000 or more",5,1080.84
51,059,450200,59301,51059450200,"$10,000 to $14,999",6,1167.69
51,059,450200,59301,51059450200,"$15,000 to $19,999",6,1072
51,059,450200,59301,51059450200,"$20,000 to $24,999",6,NA
51,059,450200,59301,51059450200,"$25,000 to $29,999",6,NA
51,059,450200,59301,51059450200,"$30,000 to $34,999",6,NA
51,059,450200,59301,51059450200,"$35,000 to $39,999",6,NA
51,059,450200,59301,51059450200,"$40,000 to $44,999",6,NA
51,059,450200,59301,51059450200,"$45,000 to $49,999",6,NA
51,059,450200,59301,51059450200,"$50,000 to $59,999",6,1221.8
51,059,450200,59301,51059450200,"$60,000 to $74,999",6,NA
51,059,450200,59301,51059450200,"$75,000 to $99,999",6,1402
51,059,450200,59301,51059450200,"$100,000 to $124,999",6,1323.82
51,059,450200,59301,51059450200,"$125,000 to $149,999",6,NA
51,059,450200,59301,51059450200,"$150,000 to $199,999",6,1316.44
51,059,450200,59301,51059450200,"$200,000 or more",6,1532
51,059,450200,59301,51059450200,"$10,000 to $14,999",7,NA
51,059,450200,59301,51059450200,"$15,000 to $19,999",7,NA
51,059,450200,59301,51059450200,"$20,000 to $24,999",7,NA
51,059,450200,59301,51059450200,"$25,000 to $29,999",7,NA
51,059,450200,59301,51059450200,"$30,000 to $34,999",7,NA
51,059,450200,59301,51059450200,"$35,000 to $39,999",7,1431
51,059,450200,59301,51059450200,"$40,000 to $44,999",7,NA
51,059,450200,59301,51059450200,"$45,000 to $49,999",7,NA
51,059,450200,59301,51059450200,"$50,000 to $59,999",7,NA
51,059,450200,59301,51059450200,"$60,000 to $74,999",7,1262.46
51,059,450200,59301,51059450200,"$75,000 to $99,999",7,NA
51,059,450200,59301,51059450200,"$100,000 to $124,999",7,1246.83
51,059,450200,59301,51059450200,"$125,000 to $149,999",7,NA
51,059,450200,59301,51059450200,"$150,000 to $199,999",7,1379.19
51,059,450200,59301,51059450200,"$200,000 or more",7,1248.44
51,059,450300,59301,51059450300,"$10,000 to $14,999",2,NA
51,059,450300,59301,51059450300,"$15,000 to $19,999",2,NA
51,059,450300,59301,51059450300,"$20,000 to $24,999",2,1072
51,059,450300,59301,51059450300,"$25,000 to $29,999",2,NA
51,059,450300,59301,51059450300,"$30,000 to $34,999",2,NA
51,059,450300,59301,51059450300,"$35,000 to $39,999",2,NA
51,059,450300,59301,51059450300,"$40,000 to $44,999",2,NA
51,059,450300,59301,51059450300,"$45,000 to $49,999",2,NA
51,059,450300,59301,51059450300,"$50,000 to $59,999",2,NA
51,059,450300,59301,51059450300,"$60,000 to $74,999",2,1402
51,059,450300,59301,51059450300,"$75,000 to $99,999",2,1072
51,059,450300,59301,51059450300,"$100,000 to $124,999",2,1485.66
51,059,450300,59301,51059450300,"$125,000 to $149,999",2,1072
51,059,450300,59301,51059450300,"$150,000 to $199,999",2,1072
51,059,450300,59301,51059450300,"$200,000 or more",2,NA
51,059,450300,59301,51059450300,"$10,000 to $14,999",3,NA
51,059,450300,59301,51059450300,"$15,000 to $19,999",3,NA
51,059,450300,59301,51059450300,"$20,000 to $24,999",3,NA
51,059,450300,59301,51059450300,"$25,000 to $29,999",3,1169.54
51,059,450300,59301,51059450300,"$30,000 to $34,999",3,NA
51,059,450300,59301,51059450300,"$35,000 to $39,999",3,NA
51,059,450300,59301,51059450300,"$40,000 to $44,999",3,1201.15
51,059,450300,59301,51059450300,"$45,000 to $49,999",3,NA
51,059,450300,59301,51059450300,"$50,000 to $59,999",3,1532
51,059,450300,59301,51059450300,"$60,000 to $74,999",3,1265.01
51,059,450300,59301,51059450300,"$75,000 to $99,999",3,1532
51,059,450300,59301,51059450300,"$100,000 to $124,999",3,1233.79
51,059,450300,59301,51059450300,"$125,000 to $149,999",3,1302.92
51,059,450300,59301,51059450300,"$150,000 to $199,999",3,1442.31
51,059,450300,59301,51059450300,"$200,000 or more",3,1200.26
51,059,450300,59301,51059450300,"$10,000 to $14,999",4,1402
51,059,450300,59301,51059450300,"$15,000 to $19,999",4,NA
51,059,450300,59301,51059450300,"$20,000 to $24,999",4,1358.1
51,059,450300,59301,51059450300,"$25,000 to $29,999",4,1125.72
51,059,450300,59301,51059450300,"$30,000 to $34,999",4,1072
51,059,450300,59301,51059450300,"$35,000 to $39,999",4,1198.88
51,059,450300,59301,51059450300,"$40,000 to $44,999",4,NA
51,059,450300,59301,51059450300,"$45,000 to $49,999",4,1456.62
51,059,450300,59301,51059450300,"$50,000 to $59,999",4,NA
51,059,450300,59301,51059450300,"$60,000 to $74,999",4,1357.68
51,059,450300,59301,51059450300,"$75,000 to $99,999",4,1195.25
51,059,450300,59301,51059450300,"$100,000 to $124,999",4,1072
51,059,450300,59301,51059450300,"$125,000 to $149,999",4,1072
51,059,450300,59301,51059450300,"$150,000 to $199,999",4,1223.1
51,059,450300,59301,51059450300,"$200,000 or more",4,1244.67
51,059,450300,59301,51059450300,"$10,000 to $14,999",5,NA
51,059,450300,59301,51059450300,"$15,000 to $19,999",5,NA
51,059,450300,59301,51059450300,"$20,000 to $24,999",5,1325.95
51,059,450300,59301,51059450300,"$25,000 to $29,999",5,NA
51,059,450300,59301,51059450300,"$30,000 to $34,999",5,1072
51,059,450300,59301,51059450300,"$35,000 to $39,999",5,1072
51,059,450300,59301,51059450300,"$40,000 to $44,999",5,1460
51,059,450300,59301,51059450300,"$45,000 to $49,999",5,NA
51,059,450300,59301,51059450300,"$50,000 to $59,999",5,1238.7
51,059,450300,59301,51059450300,"$60,000 to $74,999",5,1251.93
51,059,450300,59301,51059450300,"$75,000 to $99,999",5,1225.93
51,059,450300,59301,51059450300,"$100,000 to $124,999",5,1072
51,059,450300,59301,51059450300,"$125,000 to $149,999",5,1345.88
51,059,450300,59301,51059450300,"$150,000 to $199,999",5,1241.12
51,059,450300,59301,51059450300,"$200,000 or more",5,1080.84
51,059,450300,59301,51059450300,"$10,000 to $14,999",6,1167.69
51,059,450300,59301,51059450300,"$15,000 to $19,999",6,1072
51,059,450300,59301,51059450300,"$20,000 to $24,999",6,NA
51,059,450300,59301,51059450300,"$25,000 to $29,999",6,NA
51,059,450300,59301,51059450300,"$30,000 to $34,999",6,NA
51,059,450300,59301,51059450300,"$35,000 to $39,999",6,NA
